15:16:49.205 : tid: MN0: Create (tid:35020)
15:16:49.207 : tid: MN0: Debug ver [5.13.0.99999(00000000)]
15:16:49.208 : tid: MN0: Build date: [(Mar 26 2024) 14:30:55]
15:16:49.209 : tid: MN0: affinity already applied (65534)
15:16:53.103 : tid:   1: ==========================================================
15:16:53.104 : tid:   1: New test: _oneContact=1, maxContacts=1
15:16:53.105 : tid:   1: maxPCNodeVerts=4000
15:16:53.106 : tid:   1: use pointcloud multithread
15:16:53.106 : tid:   1: ==========================================================
15:16:53.110 : tid:   1: 0: TestType='Inside',  CheckInside {
15:16:53.118 : tid:   1:  === Process 2x1 frags ===
15:16:53.120 : tid:   1:  0 exec 0:0 {
15:16:53.123 : tid:   1:   Found 48 pairs
15:16:59.399 : tid:   1:   3D_object	0
15:16:59.400 : tid:   1:   3D_object	1
15:16:59.402 : tid:   1:   line	(-6.019; 78.495; -45.492)	(7.513; 81.632; -43.355)	0
15:16:59.403 : tid:   1:   triangle	(-16.375; 84.952; -38.541)	(-16.643; 84.026; -38.541)	(-16.375; 84.160; -38.541)	0
15:16:59.405 : tid:   1:   triangle	(-14.915; 83.430; -38.541)	(-13.331; 83.430; -38.541)	(-16.375; 84.952; -38.541)	0
15:16:59.406 : tid:   1:   triangle	(-14.915; 83.430; -38.541)	(-16.375; 84.952; -38.541)	(-16.375; 84.160; -38.541)	0
15:16:59.407 : tid:   1:   triangle	(-16.643; 84.026; -41.104)	(-18.227; 84.026; -41.104)	(-23.227; 80.734; -41.104)	0
15:16:59.407 : tid:   1:   triangle	(-16.643; 84.026; -38.541)	(-18.227; 84.026; -41.104)	(-16.643; 84.026; -41.104)	0
15:16:59.408 : tid:   1:   triangle	(-18.227; 84.026; -41.104)	(-16.643; 84.026; -38.541)	(-18.227; 84.026; -38.541)	0
15:16:59.409 : tid:   1:   triangle	(-14.915; 83.430; -41.104)	(-13.331; 83.430; -38.541)	(-14.915; 83.430; -38.541)	0
15:16:59.410 : tid:   1:   triangle	(-13.331; 83.430; -38.541)	(-14.915; 83.430; -41.104)	(-13.331; 83.430; -41.104)	0
15:16:59.410 : tid:   1:   triangle	(-1.378; 76.662; -39.083)	(-8.331; 80.138; -41.104)	(-2.585; 77.265; -71.417)	0
15:16:59.411 : tid:   1:   triangle	(-14.915; 83.430; -41.104)	(-5.268; 78.607; -71.417)	(-8.331; 80.138; -41.104)	0
15:16:59.412 : tid:   1:   triangle	(-5.268; 78.607; -71.417)	(-2.585; 77.265; -71.417)	(-8.331; 80.138; -41.104)	0
15:16:59.412 : tid:   1:   triangle	(-14.915; 83.430; -41.104)	(-16.375; 84.160; -38.541)	(-5.268; 78.607; -73.917)	0
15:16:59.413 : tid:   1:   triangle	(-23.227; 80.734; -41.104)	(-23.227; 81.526; -41.104)	(-23.227; 81.526; -37.500)	0
15:16:59.414 : tid:   1:   triangle	(-23.227; 81.526; -41.104)	(-23.227; 80.734; -41.104)	(-18.227; 84.026; -41.104)	0
15:16:59.415 : tid:   1:   triangle	(-5.268; 78.607; -73.917)	(-5.268; 78.607; -71.417)	(-14.915; 83.430; -41.104)	0
